Highlight, Title
"Due to the tight coupling between computation and storage, databases need to reserve instances long term. However, their workloads can be bursty, which results in low resource utilization.", "Berkeley view of Serverless Computing"
"Cloud computing relieved users of physical infrastructure management but left them with a proliferation of virtual resources to manage. Multiplexing worked well for batch style workloads such as MapReduce or high performance computing, which could fully utilize the instances they allocated. It worked less well for stateful services, such as when porting enterprise software like a database management system to the cloud", "Berkeley view of Serverless Computing"
"the main reason for the success of low-level virtual machines was that in the early days of cloud computing users wanted to recreate the same computing environment in the cloud that they had on their local computers to simplify porting their workloads to the cloud", "Berkeley view of Serverless Computing"
"Although serverless computing is arguably an oxymoron—you are still using servers to compute—the name presumably stuck because it suggests that the cloud user simply writes the code and leaves all the server provisioning and administration tasks to the cloud provider.", "Berkeley view of Serverless Computing"
"Cloud functions are the general purpose element in serverless computing today, and lead the way to a simpliﬁed and general purpose programming model for the cloud.", "Berkeley view of Serverless Computing"
"serverless computing = FaaS + BaaS.", "Berkeley view of Serverless Computing"
"In any serverless platform, the user just writes a cloud function in a high-level language, picks the event that should trigger the running of the function—such as loading an image into cloud storage or adding an image thumbnail to a database table—and lets the serverless system handle everything else: instance selection, scaling, deployment, fault tolerance, monitoring, logging, security patches, and so on.", "Berkeley view of Serverless Computing"
"In the cloud context, serverful computing is like programming in low-level assembly language whereas serverless computing is like programming in a higher-level language such as Python.", "Berkeley view of Serverless Computing"
"Other features of high-level programming environments have natural parallels in serverless computing as well.", "Berkeley view of Serverless Computing"
"Automated memory management relieves programmers from managing memory resources, whereas serverless computing relieves programmers from managing server resources.", "Berkeley view of Serverless Computing"
"The storage and computation scale separately and are provisioned and priced independently. In general, the storage is provided by a separate cloud service and the computation is stateless.", "Berkeley view of Serverless Computing"
"Billing is by some dimension associated with the execution, such as execution time, rather than by a dimension of the base cloud platform, such as size and number of VMs allocated.", "Berkeley view of Serverless Computing"
"The serverless layer sits between applications and the base cloud platform, simplifying cloud programming.", "Berkeley view of Serverless Computing"
"Cloud functions (i.e., FaaS) provide general compute and are complemented by an ecosystem of specialized Backend as a Service (BaaS) oﬀerings such as object storage, databases, or messaging.", "Berkeley view of Serverless Computing"
"Today’s serverless computing with cloud functions diﬀers from its predecessors in several essential ways: better autoscaling, strong isolation, platform ﬂexibility, and service ecosystem support.", "Berkeley view of Serverless Computing"
"it charged the customer for the time their code was actually executing, not for the resources reserved to execute their program. This distinction ensured the cloud provider had “skin in the game” on autoscaling, and consequently provided incentives to ensure eﬃcient resource allocation.", "Berkeley view of Serverless Computing"
"One approach, reﬂected in AWS Lambda, is maintaining a “warm pool” of VM instances that need only be assigned to a tenant, and an “active pool” of instances that have been used to run a function before and are maintained to serve future invocations", "Berkeley view of Serverless Computing"
